frame_number,classification,truth
1,1,1
11,1,1
21,1,1
31,0,1
41,1,1
51,1,1
61,1,1
71,1,1
81,1,1
91,1,1
101,1,1
111,0,1
121,1,1
131,0,1
141,1,1
151,1,1
161,0,1
171,1,1
181,1,1
191,0,1
201,1,1
211,0,1
221,1,1
231,0,1
241,0,1
251,1,1
261,0,1
271,0,1
281,1,1
291,1,1
301,0,1
311,1,1
321,0,1
331,0,1
341,1,1
351,0,1
361,1,1
371,0,1
381,1,1
391,0,1
401,1,1
411,0,1
421,0,1
431,1,0
441,0,0
451,1,-1
461,1,-1
471,1,-1
481,0,-1
491,0,-1
501,0,-1
511,1,-1
521,1,-1
531,1,-1
541,1,-1
551,1,-1
561,1,-1
571,1,-1
581,1,-1
591,1,-1
601,1,-1
611,1,-1
621,1,-1
631,1,-1
641,1,-1
651,-1,-1
661,-1,-1
671,-1,-1
681,-1,-1
691,-1,-1
701,-1,-1
711,-1,-1
721,-1,-1
731,-1,-1
741,-1,-1
751,-1,-1
761,-1,-1
771,-1,-1
781,-1,-1
791,-1,-1
801,-1,-1
811,-1,-1
821,-1,-1
831,0,-1
841,-1,-1
851,-1,-1
861,0,-1
871,0,-1
881,0,-1
891,-1,-1
901,0,-1
911,0,-1
921,0,-1
931,0,-1
941,0,-1
951,0,-1
961,0,-1
971,-1,-1
981,0,-1
991,0,-1
1001,-1,-1
1011,0,-1
1021,0,-1
1031,0,-1
1041,0,-1
1051,-1,-1
1061,-1,-1
1071,-1,-1
1081,-1,-1
1091,0,-1
1101,0,-1
1111,-1,-1
1121,-1,-1
1131,-1,-1
1141,-1,-1
1151,-1,-1
1161,-1,-1
1171,-1,-1
1181,-1,-1
1191,-1,-1
1201,-1,-1
1211,-1,-1
1221,0,-1
1231,0,0
1241,-1,0
1251,-1,0
1261,-1,0
1271,0,0
1281,0,0
1291,-1,0
1301,-1,0
