frame_number,classification,truth
1,0,0
11,0,0
21,0,0
31,0,0
41,1,0
51,1,0
61,1,0
71,1,0
81,1,0
91,1,0
101,1,0
111,0,0
121,1,0
131,0,0
141,1,0
151,0,0
161,1,0
171,1,0
181,0,0
191,0,0
201,0,0
211,0,0
221,0,0
231,0,0
241,0,0
251,0,0
261,0,0
271,1,0
281,0,0
291,0,0
301,0,0
311,0,0
321,0,0
331,0,0
341,1,0
351,0,0
361,0,0
371,0,1
381,0,1
391,0,1
401,0,1
411,0,1
421,0,1
431,0,1
441,0,1
451,0,1
461,0,1
471,0,1
481,0,1
491,0,1
501,0,1
511,0,1
521,0,1
531,0,1
541,0,1
551,0,1
561,0,1
571,0,1
581,0,1
591,1,1
601,0,1
611,0,1
621,0,1
631,0,1
641,0,1
651,0,1
661,0,1
671,0,1
681,0,1
691,0,1
701,0,1
711,0,1
721,0,1
731,0,1
741,0,1
751,0,1
761,0,1
771,0,1
781,0,1
791,0,1
801,0,1
811,0,1
821,0,1
831,0,1
841,0,1
851,0,1
861,1,1
871,1,1
881,0,1
891,1,1
901,0,1
911,0,0
921,0,0
931,1,0
941,0,0
951,0,0
961,0,0
971,0,0
981,0,0
991,0,-1
1001,0,-1
1011,0,-1
1021,0,-1
1031,0,-1
1041,0,-1
1051,0,-1
1061,0,-1
1071,0,-1
1081,0,-1
1091,0,-1
1101,0,-1
1111,0,-1
1121,0,-1
1131,0,-1
1141,0,-1
1151,0,-1
1161,0,-1
1171,0,-1
1181,0,-1
1191,0,-1
1201,0,-1
1211,0,-1
1221,0,-1
1231,0,-1
1241,0,-1
1251,0,-1
1261,0,-1
1271,0,-1
1281,0,-1
1291,0,-1
1301,0,-1
1311,0,-1
1321,0,-1
1331,0,-1
1341,0,-1
1351,0,-1
1361,0,-1
1371,0,-1
1381,1,-1
1391,1,-1
1401,1,-1
1411,1,-1
1421,1,-1
1431,1,-1
1441,1,-1
1451,0,-1
1461,0,0
1471,0,0
1481,0,0
1491,0,0
1501,0,0
1511,0,0
1521,0,0
1531,0,0
1541,1,0
1551,0,0
1561,0,0
1571,0,0
1581,0,0
1591,0,0
1601,0,0
1611,0,0
1621,0,0
1631,0,0
1641,1,0
1651,0,0
1661,0,0
1671,0,0
1681,1,0
1691,1,0
1701,0,0
1711,0,0
1721,0,0
1731,1,0
1741,1,0
1751,0,0
1761,0,0
1771,-1,0
1781,-1,0
1791,-1,0
1801,-1,0
1811,-1,0
