frame_number,classification,truth
1,0,0
11,0,0
21,0,0
31,0,0
41,1,0
51,0,0
61,1,0
71,0,0
81,0,0
91,0,0
101,0,0
111,0,0
121,0,0
131,1,0
141,0,0
151,0,0
161,0,0
171,0,0
181,0,0
191,1,0
201,1,0
211,1,0
221,0,0
231,0,0
241,0,0
251,0,0
261,1,0
271,0,0
281,1,0
291,1,0
301,0,0
311,0,0
321,0,0
331,1,0
341,0,0
351,0,0
361,0,0
371,0,0
381,0,0
391,1,0
401,0,0
411,0,0
421,0,0
431,0,0
441,0,0
451,0,0
461,1,0
471,0,0
481,1,0
491,0,0
501,1,0
511,0,0
521,0,0
531,0,0
541,0,0
551,1,0
561,1,0
571,1,0
581,0,0
591,0,0
601,1,0
611,0,0
621,0,0
631,0,0
641,0,0
651,0,0
661,0,0
671,0,0
681,0,0
691,0,0
701,0,0
711,0,0
721,0,0
731,1,0
741,0,0
751,0,0
761,1,0
771,0,0
781,0,0
791,0,0
801,0,0
811,0,0
821,0,0
831,0,0
841,1,0
851,0,0
861,0,0
871,0,0
881,0,0
891,0,0
901,0,0
911,0,0
921,1,0
931,0,0
941,1,0
951,0,0
961,0,0
971,1,0
981,0,0
991,0,0
1001,0,0
1011,0,0
1021,0,0
1031,1,0
1041,0,0
1051,0,0
1061,0,0
1071,0,0
1081,0,0
1091,0,0
1101,0,0
1111,0,0
1121,0,0
1131,0,0
1141,0,0
1151,0,0
1161,1,0
1171,0,0
1181,1,0
1191,1,0
1201,0,0
1211,1,0
1221,0,0
1231,0,0
1241,1,0
1251,0,0
1261,0,0
1271,0,0
1281,0,0
1291,0,0
1301,-1,0
1311,0,0
1321,0,0
1331,0,0
1341,0,0
1351,0,0
1361,0,0
1371,0,0
1381,0,0
1391,0,0
1401,0,0
1411,0,0
1421,0,0
