index,time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
1516,18.508968,t,511.0,511.0,347.0,86.0,298.0,276.0,400.0,494.0,9.73,-1.17,-0.12,-12.69,6.56,3.31,0.64,-0.38,-0.3,-0.3,0.11,-0.03,-0.24,0.0,1.0,3.0
1517,18.524098,t,511.0,511.0,346.0,85.0,291.0,266.0,385.0,480.0,9.73,-1.18,-0.11,-12.56,7.06,3.25,0.64,-0.38,-0.3,-0.3,0.09,0.0,-0.27,0.0,1.0,3.0
1518,18.539159,t,511.0,511.0,347.0,84.0,291.0,266.0,386.0,477.0,9.73,-1.19,-0.1,-12.5,7.25,3.44,0.64,-0.38,-0.3,-0.3,0.0,-0.05,-0.27,0.0,1.0,3.0
1519,18.55419,t,511.0,511.0,346.0,84.0,294.0,274.0,398.0,493.0,9.73,-1.2,-0.09,-12.19,6.75,3.56,0.63,-0.39,-0.31,-0.31,0.0,-0.07,-0.19,0.0,1.0,3.0
1520,18.569308,t,511.0,511.0,343.0,84.0,292.0,274.0,402.0,501.0,9.73,-1.22,-0.07,-13.13,6.5,3.75,0.63,-0.39,-0.31,-0.31,0.03,-0.03,-0.09,0.0,1.0,3.0
1521,18.584438,t,511.0,511.0,342.0,84.0,288.0,265.0,382.0,471.0,9.72,-1.22,-0.06,-13.13,6.31,3.87,0.63,-0.39,-0.31,-0.31,0.03,-0.05,-0.19,0.0,1.0,3.0
1522,18.599525,t,509.0,511.0,342.0,86.0,292.0,270.0,390.0,477.0,9.72,-1.23,-0.06,-12.44,6.06,3.44,0.63,-0.4,-0.32,-0.32,0.01,-0.05,-0.14,0.0,1.0,3.0
1523,18.614586,t,511.0,511.0,339.0,85.0,286.0,262.0,382.0,464.0,9.72,-1.23,-0.05,-11.5,5.56,2.94,0.63,-0.4,-0.32,-0.32,0.0,-0.01,-0.09,0.0,1.0,3.0
1524,18.629619,t,500.0,511.0,341.0,86.0,290.0,267.0,390.0,474.0,9.72,-1.24,-0.04,-8.94,5.25,1.25,0.63,-0.4,-0.32,-0.32,0.03,-0.01,-0.12,0.0,1.0,3.0
1525,18.645056,t,510.0,511.0,339.0,85.0,285.0,259.0,379.0,462.0,9.72,-1.24,-0.03,-8.19,5.37,0.69,0.62,-0.41,-0.33,-0.33,0.14,-0.05,-0.03,0.0,1.0,3.0
1526,18.659089,t,507.0,511.0,339.0,85.0,284.0,260.0,379.0,462.0,9.72,-1.24,-0.02,-7.12,5.5,0.25,0.62,-0.41,-0.33,-0.33,0.07,0.0,-0.04,0.0,1.0,3.0
1527,18.673092,t,508.0,511.0,341.0,85.0,284.0,260.0,380.0,462.0,9.72,-1.24,-0.01,-5.37,5.19,-0.37,0.62,-0.41,-0.33,-0.33,0.07,-0.02,-0.09,0.0,1.0,3.0
1528,18.689244,t,498.0,511.0,344.0,86.0,285.0,264.0,379.0,458.0,9.72,-1.23,0.0,-2.37,4.87,-2.75,0.62,-0.41,-0.34,-0.34,0.01,-0.07,-0.25,0.0,1.0,3.0
1529,18.704332,t,510.0,511.0,343.0,86.0,285.0,261.0,381.0,466.0,9.72,-1.23,0.0,-1.5,4.5,-3.37,0.62,-0.41,-0.34,-0.34,0.02,-0.13,-0.2,0.0,1.0,3.0
1530,18.718473,t,511.0,511.0,342.0,85.0,283.0,261.0,381.0,467.0,9.72,-1.22,0.01,-0.62,4.75,-3.37,0.62,-0.41,-0.34,-0.34,0.03,-0.12,-0.23,0.0,1.0,3.0
1531,18.734638,t,511.0,511.0,341.0,86.0,285.0,260.0,380.0,467.0,9.72,-1.22,0.01,0.06,4.62,-3.56,0.62,-0.42,-0.35,-0.35,0.04,-0.15,-0.18,0.0,1.0,3.0
1532,18.748708,t,511.0,511.0,340.0,86.0,285.0,260.0,380.0,466.0,9.73,-1.2,0.04,1.5,5.12,-4.37,0.62,-0.42,-0.35,-0.35,0.03,-0.18,-0.15,0.0,1.0,3.0
1533,18.76376,t,511.0,511.0,341.0,86.0,286.0,261.0,381.0,470.0,9.73,-1.2,0.04,1.12,5.5,-4.5,0.62,-0.42,-0.35,-0.35,-0.03,-0.37,-0.23,0.0,1.0,3.0
1534,18.778914,t,511.0,511.0,340.0,86.0,287.0,261.0,381.0,474.0,9.73,-1.19,0.05,1.69,5.62,-4.37,0.62,-0.42,-0.35,-0.35,-0.03,-0.45,-0.21,0.0,1.0,3.0
