Sample Rate = 140.98684210526315
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal


0:00:00.008014,,-0.19,0.69,0.45,0.49,0.55,0.55,0.02,-0.11,-0.03,0.00,1.00,3.00

0:00:00.010014,s,30,28,27,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,-0.05,0.09,0.18,3.00,3.00,3.00

0:00:00.013015,t,474,476,347,93,304,258,375,498,9.74,-1.10,0.23,0.56,-0.44,0.81,0.45,0.49,0.56,0.56,-0.01,-0.09,-0.04,0.00,1.00,3.00

0:00:00.015015,s,30,30,30,28,28,27,26,25,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,-0.01,0.10,0.14,3.00,3.00,3.00

0:00:00.019005,t,476,478,348,93,304,259,376,500,9.74,-1.11,0.23,0.31,-0.37,0.81,0.45,0.49,0.56,0.56,0.04,0.00,-0.03,0.00,1.00,3.00

0:00:00.022017,s,30,30,30,30,29,28,27,26,-1.14,-0.08,-9.73,0.06,0.00,-0.06,0.05,-0.46,0.02,0.02,0.11,-0.01,0.18,3.00,3.00,3.00

0:00:00.025018,t,482,482,349,94,305,259,376,501,9.74,-1.11,0.23,0.69,-0.62,0.75,0.45,0.49,0.56,0.56,0.05,0.00,-0.05,0.00,1.00,3.00

0:00:00.027018,s,30,29,27,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.13,0.00,0.05,-0.46,0.02,0.02,0.16,0.03,0.20,3.00,3.00,3.00

0:00:00.030019,t,475,474,346,92,303,258,374,496,9.74,-1.11,0.23,-0.56,-0.50,0.75,0.45,0.49,0.56,0.56,0.06,-0.12,-0.04,0.00,1.00,3.00

0:00:00.033019,s,30,29,29,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.17,0.01,0.19,3.00,3.00,3.00

0:00:00.035020,t,473,472,345,92,302,257,373,497,9.73,-1.11,0.23,-0.56,-0.37,0.81,0.45,0.49,0.56,0.56,0.04,-0.12,-0.05,0.00,1.00,3.00

0:00:00.038020,s,30,30,29,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,-0.06,0.05,-0.46,0.02,0.02,0.15,0.01,0.15,3.00,3.00,3.00

0:00:00.041021,t,472,472,346,93,301,258,373,497,9.73,-1.11,0.23,-0.25,-0.50,1.00,0.45,0.49,0.56,0.56,0.07,-0.10,-0.05,0.00,1.00,3.00

0:00:00.043022,s,30,30,29,29,27,26,26,25,-1.14,-0.08,-9.73,0.00,0.06,0.06,0.05,-0.46,0.02,0.02,0.09,0.03,0.15,3.00,3.00,3.00

0:00:00.046023,t,465,480,348,93,302,262,372,494,9.73,-1.12,0.23,0.37,-0.56,0.81,0.45,0.49,0.56,0.56,0.08,-0.02,-0.02,0.00,1.00,3.00

