,time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
2037,35.019279,t,127.0,185.0,124.0,50.0,143.0,163.0,148.0,105.0,8.65,-4.13,-2.03,51.81,-1.06,-17.31,0.62,-0.2,0.12,0.12,-0.53,1.17,-0.37,68.44,61.94,-116.12
2038,35.039283,t,130.0,191.0,124.0,50.0,144.0,166.0,152.0,106.0,8.68,-4.1,-1.98,27.12,0.44,-21.37,0.62,-0.19,0.12,0.12,-0.28,0.88,-0.81,68.19,62.5,-115.87
2039,35.059288,t,135.0,199.0,120.0,49.0,140.0,163.0,151.0,106.0,8.71,-4.03,-1.97,-1.31,1.12,-24.94,0.62,-0.19,0.12,0.12,-0.25,0.79,-0.81,68.5,62.69,-116.06
2040,35.079293,t,146.0,206.0,123.0,53.0,142.0,164.0,150.0,115.0,8.75,-3.94,-1.99,-22.94,0.81,-26.94,0.62,-0.19,0.11,0.11,-0.46,0.56,-0.46,69.44,63.19,-116.81
2041,35.100297,t,152.0,210.0,122.0,50.0,142.0,159.0,149.0,120.0,8.79,-3.83,-2.03,-33.13,-0.13,-28.37,0.62,-0.19,0.1,0.1,-0.34,-0.16,-0.2,71.31,63.94,-118.56
2042,35.120301,t,150.0,205.0,117.0,50.0,133.0,154.0,145.0,119.0,8.83,-3.72,-2.08,-30.87,-0.56,-29.87,0.62,-0.19,0.09,0.09,-0.25,-0.24,-0.18,71.94,64.19,-119.19
2043,35.140306,t,148.0,207.0,119.0,51.0,127.0,155.0,146.0,120.0,8.87,-3.6,-2.1,-23.5,2.87,-31.37,0.62,-0.18,0.09,0.09,-0.53,-1.32,-0.51,73.75,65.06,-120.69
2044,35.160311,t,146.0,207.0,121.0,50.0,124.0,153.0,148.0,117.0,8.91,-3.5,-2.1,-11.69,8.25,-31.44,0.62,-0.18,0.08,0.08,-0.66,-1.65,-0.44,74.19,65.37,-121.0
2045,35.180316,t,149.0,213.0,126.0,51.0,123.0,155.0,151.0,117.0,8.95,-3.41,-2.07,-0.94,9.38,-27.25,0.62,-0.18,0.08,0.08,-0.7,-2.41,-0.65,75.19,66.19,-121.44
2046,35.199319,t,150.0,219.0,127.0,50.0,123.0,150.0,151.0,119.0,8.98,-3.34,-2.04,5.5,7.94,-22.31,0.62,-0.17,0.08,0.08,-1.38,-2.1,-0.91,75.5,66.62,-121.56
2047,35.219324,t,153.0,218.0,129.0,50.0,124.0,150.0,152.0,122.0,9.01,-3.28,-2.02,0.62,3.62,-17.81,0.62,-0.17,0.08,0.08,-1.03,-1.78,-1.04,75.69,66.75,-121.69
2048,35.239328,t,157.0,219.0,137.0,51.0,130.0,153.0,154.0,131.0,9.03,-3.23,-2.03,-7.44,0.37,-12.06,0.62,-0.17,0.07,0.07,-0.59,-1.98,-1.79,76.37,67.12,-122.37
2049,35.259333,t,166.0,224.0,140.0,50.0,132.0,155.0,164.0,139.0,9.04,-3.19,-2.04,-11.38,-0.88,-8.38,0.62,-0.17,0.07,0.07,-0.83,-2.47,-1.85,76.69,67.19,-122.87
2050,35.280338,t,175.0,229.0,146.0,51.0,134.0,159.0,168.0,146.0,9.03,-3.18,-2.07,-8.75,-8.56,3.75,0.62,-0.17,0.07,0.07,-1.12,-2.89,-1.39,76.62,67.0,-123.19
2051,35.299342,t,175.0,231.0,152.0,51.0,136.0,162.0,167.0,146.0,9.01,-3.23,-2.11,21.69,-16.81,16.06,0.62,-0.17,0.08,0.08,-0.91,-0.9,-0.96,75.75,66.56,-123.12
2052,35.320347,t,162.0,221.0,149.0,50.0,133.0,165.0,160.0,141.0,8.98,-3.29,-2.13,23.12,-10.81,13.38,0.62,-0.17,0.08,0.08,-0.63,-0.29,-0.17,75.06,66.31,-122.75
2053,35.340352,t,166.0,227.0,152.0,52.0,132.0,178.0,162.0,145.0,8.97,-3.31,-2.13,-8.56,-1.37,1.56,0.62,-0.17,0.08,0.08,-1.27,0.58,0.64,75.06,66.19,-122.81
2054,35.359355,t,160.0,203.0,146.0,51.0,122.0,174.0,158.0,136.0,8.97,-3.31,-2.15,-10.5,-1.87,-2.31,0.62,-0.17,0.08,0.08,-1.35,0.46,0.36,75.37,66.25,-123.19
2055,35.379361,t,160.0,191.0,150.0,52.0,121.0,173.0,158.0,134.0,8.98,-3.27,-2.17,-7.94,-3.06,-11.0,0.62,-0.17,0.08,0.08,-1.36,0.69,-0.01,75.81,66.44,-123.75
2056,35.399364,t,157.0,191.0,148.0,50.0,114.0,166.0,153.0,134.0,9.01,-3.18,-2.18,-21.06,5.87,-15.81,0.62,-0.17,0.07,0.07,-2.25,0.12,-0.4,76.62,66.75,-124.37
2057,35.419369,t,166.0,213.0,153.0,50.0,118.0,170.0,154.0,138.0,9.02,-3.15,-2.18,-22.12,5.87,-16.0,0.62,-0.17,0.07,0.07,-2.07,-0.03,-0.5,77.5,67.06,-125.0
2058,35.440374,t,172.0,228.0,157.0,52.0,120.0,170.0,155.0,144.0,9.05,-3.05,-2.18,-16.37,8.25,-17.37,0.62,-0.17,0.06,0.06,-1.36,-1.0,-0.56,78.31,67.44,-125.5
2059,35.460378,t,169.0,227.0,155.0,51.0,124.0,168.0,153.0,145.0,9.07,-3.02,-2.17,-11.38,8.88,-17.81,0.62,-0.17,0.06,0.06,-1.68,-1.03,-0.17,79.0,67.81,-125.87
2060,35.480383,t,170.0,225.0,156.0,52.0,125.0,168.0,153.0,137.0,9.09,-2.96,-2.15,-1.37,6.06,-17.0,0.62,-0.17,0.06,0.06,-2.25,-0.76,-0.2,79.44,68.19,-126.12
2061,35.499387,t,170.0,225.0,156.0,52.0,125.0,168.0,153.0,137.0,9.09,-2.96,-2.15,-1.37,6.06,-17.0,0.62,-0.17,0.06,0.06,-2.25,-0.76,-0.2,79.44,68.19,-126.12
2062,35.519392,t,169.0,222.0,153.0,52.0,121.0,164.0,147.0,129.0,9.13,-2.85,-2.13,-4.62,2.62,-19.06,0.62,-0.17,0.05,0.05,-0.99,-0.02,-0.06,80.37,68.87,-127.19
2063,35.539396,t,168.0,219.0,150.0,56.0,120.0,168.0,152.0,140.0,9.17,-2.73,-2.13,-20.12,6.19,-22.62,0.62,-0.17,0.05,0.05,-0.63,-0.5,0.12,81.25,69.25,-128.0
2064,35.560401,t,163.0,207.0,147.0,56.0,116.0,163.0,146.0,137.0,9.18,-2.68,-2.13,-22.87,7.56,-23.62,0.62,-0.16,0.04,0.04,-2.11,-0.68,0.39,82.31,69.69,-128.94
2065,35.580405,t,164.0,195.0,152.0,58.0,118.0,166.0,148.0,139.0,9.21,-2.59,-2.13,-14.88,5.87,-22.75,0.62,-0.16,0.04,0.04,-2.69,-0.37,0.44,83.25,70.12,-129.81
2066,35.60041,t,159.0,190.0,153.0,57.0,116.0,161.0,148.0,133.0,9.24,-2.47,-2.12,-10.13,4.25,-21.37,0.62,-0.16,0.03,0.03,-2.42,-0.16,-0.4,83.94,70.5,-130.56
2067,35.620414,t,159.0,189.0,155.0,56.0,113.0,154.0,145.0,131.0,9.25,-2.43,-2.12,-12.56,5.44,-21.56,0.63,-0.16,0.03,0.03,-1.88,-0.55,-0.59,84.75,70.94,-131.44
2068,35.640419,t,159.0,189.0,155.0,56.0,113.0,153.0,146.0,130.0,9.29,-2.3,-2.11,-33.19,11.13,-23.56,0.63,-0.16,0.02,0.02,-1.33,-1.88,-0.31,86.0,71.37,-132.5
2069,35.660424,t,160.0,213.0,157.0,56.0,114.0,156.0,142.0,134.0,9.31,-2.25,-2.1,-37.5,16.12,-22.31,0.63,-0.16,0.01,0.01,-0.23,-2.84,-1.21,87.44,71.94,-133.5
2070,35.680428,t,186.0,240.0,173.0,56.0,127.0,183.0,158.0,153.0,9.35,-2.09,-2.06,-45.56,17.62,-24.19,0.63,-0.16,0.01,0.01,4.53,-4.64,-3.75,89.0,72.5,-134.62
2071,35.700432,t,203.0,254.0,191.0,52.0,131.0,202.0,171.0,163.0,9.39,-1.99,-1.99,32.31,15.88,-37.0,0.63,-0.16,0.0,0.0,1.36,-1.53,-3.54,89.56,73.25,-135.0
2072,35.719437,t,229.0,319.0,246.0,51.0,160.0,232.0,188.0,181.0,9.4,-1.94,-1.99,44.19,-32.88,-43.94,0.63,-0.15,0.0,0.0,0.02,2.35,-2.9,89.12,73.56,-137.06
