index,time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
887,12.019835,t,231.0,296.0,264.0,90.0,231.0,241.0,236.0,227.0,9.34,-0.77,-2.87,-17.69,16.5,-1.44,0.08,0.78,0.59,0.59,0.01,-0.25,-0.07,285.75,72.25,-164.81
888,12.039839,t,245.0,311.0,276.0,97.0,240.0,251.0,247.0,235.0,9.35,-0.76,-2.82,-4.94,16.0,-2.69,0.08,0.78,0.59,0.59,-0.37,-0.63,-0.45,286.25,72.75,-164.94
889,12.059845,t,241.0,310.0,273.0,97.0,239.0,249.0,246.0,233.0,9.37,-0.74,-2.77,0.88,11.5,-3.5,0.09,0.78,0.59,0.59,-0.19,-0.17,-0.14,286.31,73.0,-164.87
890,12.079848,t,236.0,316.0,264.0,94.0,234.0,246.0,244.0,230.0,9.38,-0.73,-2.74,-2.37,8.19,-3.44,0.09,0.78,0.59,0.59,-0.3,-0.13,-0.16,286.56,73.19,-165.12
891,12.099852,t,240.0,327.0,262.0,95.0,238.0,251.0,249.0,230.0,9.39,-0.71,-2.72,-7.31,10.69,-3.87,0.09,0.78,0.59,0.59,-0.21,-0.15,0.36,286.81,73.37,-165.31
892,12.119858,t,236.0,318.0,250.0,94.0,230.0,246.0,245.0,225.0,9.4,-0.69,-2.69,-10.13,11.81,-2.44,0.09,0.78,0.6,0.6,-0.13,-0.22,0.32,287.12,73.62,-165.5
893,12.139862,t,237.0,319.0,249.0,95.0,230.0,246.0,246.0,226.0,9.41,-0.68,-2.65,-13.75,15.69,2.37,0.09,0.78,0.6,0.6,-0.35,-0.87,-0.05,287.5,73.87,-165.37
894,12.159867,t,231.0,319.0,243.0,90.0,230.0,245.0,243.0,219.0,9.43,-0.68,-2.6,-10.88,15.31,4.87,0.09,0.77,0.6,0.6,-0.53,-1.17,-0.32,287.75,74.19,-165.06
895,12.179871,t,226.0,310.0,240.0,85.0,230.0,244.0,239.0,216.0,9.44,-0.69,-2.55,-8.69,14.38,6.56,0.09,0.77,0.6,0.6,-0.52,-1.25,-0.34,287.75,74.37,-164.44
896,12.199876,t,222.0,314.0,242.0,88.0,234.0,247.0,238.0,210.0,9.45,-0.73,-2.5,-7.25,11.19,11.94,0.09,0.77,0.6,0.6,-0.57,-1.15,-0.23,287.75,74.56,-163.62
897,12.21988,t,215.0,306.0,235.0,89.0,229.0,243.0,233.0,204.0,9.45,-0.75,-2.48,-8.0,10.63,13.94,0.09,0.77,0.6,0.6,-0.79,-1.09,0.11,287.62,74.69,-162.5
898,12.239885,t,222.0,305.0,237.0,90.0,230.0,246.0,231.0,205.0,9.45,-0.84,-2.44,-6.94,6.37,23.25,0.09,0.77,0.61,0.61,-0.49,-1.35,0.29,287.44,74.69,-161.0
899,12.259889,t,221.0,294.0,229.0,88.0,225.0,242.0,226.0,203.0,9.45,-0.92,-2.43,-4.87,1.62,30.25,0.09,0.77,0.61,0.61,-0.24,-1.48,0.3,287.0,74.5,-159.12
900,12.279894,t,218.0,287.0,220.0,84.0,219.0,238.0,222.0,197.0,9.44,-0.97,-2.44,-5.69,0.25,31.69,0.09,0.77,0.61,0.61,-0.31,-1.7,0.32,286.06,74.25,-157.12
901,12.299898,t,216.0,275.0,215.0,83.0,217.0,235.0,220.0,196.0,9.42,-1.14,-2.45,-7.75,-2.87,36.56,0.08,0.76,0.61,0.61,-0.42,-1.66,0.25,285.56,73.94,-155.06
902,12.319903,t,206.0,250.0,208.0,77.0,212.0,224.0,210.0,184.0,9.41,-1.19,-2.46,-7.56,-3.69,38.19,0.08,0.76,0.61,0.61,-0.16,-1.13,0.11,284.87,73.56,-152.94
903,12.339907,t,202.0,248.0,208.0,76.0,210.0,222.0,205.0,175.0,9.38,-1.38,-2.48,-2.87,-2.87,41.31,0.08,0.76,0.61,0.61,0.18,-0.7,-0.01,284.19,73.12,-150.69
904,12.359912,t,197.0,237.0,204.0,74.0,208.0,218.0,202.0,166.0,9.36,-1.52,-2.48,-5.37,-2.19,42.81,0.07,0.76,0.61,0.61,0.48,-0.51,-0.02,283.44,72.62,-148.5
905,12.379916,t,191.0,242.0,200.0,74.0,210.0,226.0,201.0,160.0,9.33,-1.65,-2.5,-15.19,-1.75,44.19,0.07,0.76,0.61,0.61,0.44,-0.75,0.09,282.75,72.19,-146.5
906,12.399921,t,187.0,244.0,195.0,73.0,210.0,225.0,198.0,158.0,9.3,-1.77,-2.52,-22.5,-2.56,44.5,0.07,0.76,0.61,0.61,0.42,-1.13,0.14,282.37,71.62,-144.81
907,12.419926,t,182.0,234.0,188.0,71.0,205.0,220.0,191.0,154.0,9.29,-1.83,-2.53,-22.0,-4.37,44.31,0.06,0.76,0.6,0.6,0.19,-0.96,0.23,282.06,71.06,-143.25
908,12.43993,t,184.0,233.0,190.0,75.0,215.0,229.0,198.0,159.0,9.25,-1.96,-2.56,-17.25,-7.0,42.56,0.06,0.76,0.6,0.6,-0.15,-0.49,0.37,281.62,70.44,-141.94
909,12.459935,t,180.0,227.0,186.0,71.0,216.0,228.0,195.0,159.0,9.2,-2.13,-2.62,-13.56,-10.5,38.94,0.06,0.75,0.6,0.6,-0.04,-0.1,0.39,281.19,69.81,-140.81
910,12.479939,t,177.0,230.0,182.0,63.0,218.0,227.0,194.0,160.0,9.16,-2.23,-2.67,-15.56,-11.94,34.75,0.06,0.75,0.6,0.6,0.22,0.03,0.27,280.5,69.19,-140.06
911,12.499944,t,175.0,231.0,178.0,62.0,218.0,226.0,196.0,160.0,9.13,-2.31,-2.72,-18.31,-11.44,30.81,0.05,0.75,0.6,0.6,0.0,-0.59,0.42,280.25,68.56,-139.56
912,12.519948,t,175.0,232.0,178.0,61.0,217.0,225.0,196.0,161.0,9.11,-2.35,-2.74,-16.69,-10.75,27.87,0.05,0.75,0.6,0.6,0.15,-0.23,0.54,280.0,68.06,-139.12
913,12.538952,t,175.0,238.0,182.0,58.0,222.0,230.0,202.0,167.0,9.06,-2.46,-2.8,-8.94,-7.19,24.87,0.05,0.75,0.6,0.6,0.3,-0.67,0.5,279.75,67.62,-138.75
914,12.558957,t,174.0,234.0,178.0,57.0,219.0,228.0,200.0,167.0,9.04,-2.52,-2.82,0.0,-7.69,19.06,0.05,0.75,0.59,0.59,-0.18,-0.31,0.62,279.37,67.25,-138.19
915,12.578962,t,175.0,235.0,177.0,55.0,220.0,229.0,200.0,166.0,9.02,-2.58,-2.84,8.75,-7.19,15.19,0.05,0.75,0.59,0.59,-0.13,-0.38,0.56,278.69,66.94,-137.75
916,12.598966,t,169.0,231.0,170.0,52.0,216.0,225.0,199.0,161.0,9.0,-2.63,-2.85,14.81,-6.56,13.44,0.04,0.75,0.59,0.59,-0.18,-0.43,0.57,278.0,66.62,-137.19
917,12.618972,t,172.0,239.0,170.0,52.0,220.0,230.0,202.0,158.0,8.99,-2.7,-2.82,24.44,-4.37,8.81,0.04,0.75,0.6,0.6,-0.16,-0.39,0.57,276.81,66.44,-136.19
918,12.638975,t,179.0,248.0,172.0,53.0,225.0,234.0,207.0,161.0,8.98,-2.77,-2.8,23.5,-4.06,7.44,0.03,0.75,0.6,0.6,-0.27,-0.33,0.42,275.87,66.25,-135.25
