FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,Class
306,166,225,94,287,345,278,301.0,9.57,-0.74,-2.0,-0.31,13.75,3.25,0.52,-0.49,-0.36,-0.36,0.72,-1.5,0.45,0
304,158,229,100,286,330,270,301.0,9.58,-0.77,-1.94,12.13,19.75,11.44,0.52,-0.49,-0.36,-0.36,0.48,-1.73,1.85,0
286,159,234,102,282,318,257,290.0,9.59,-0.85,-1.85,24.19,29.19,21.31,0.53,-0.49,-0.36,-0.36,0.66,-1.52,3.4,0
248,154,239,106,278,294,251,271.0,9.61,-0.95,-1.7,26.0,47.94,28.0,0.54,-0.48,-0.35,-0.35,0.8,-0.61,3.44,0
220,153,242,102,264,270,239,253.0,9.63,-1.07,-1.49,18.69,64.94,34.81,0.55,-0.48,-0.35,-0.35,0.42,-0.31,3.14,0
208,155,237,102,262,248,228,242.0,9.65,-1.22,-1.24,7.12,74.81,43.19,0.56,-0.48,-0.36,-0.36,0.72,-0.1,2.96,0
191,156,220,104,255,234,204,239.0,9.65,-1.38,-0.98,-23.25,82.69,51.38,0.57,-0.48,-0.36,-0.36,0.77,1.08,0.63,0
186,150,200,102,250,213,182,208.0,9.65,-1.53,-0.72,-22.94,80.62,46.25,0.58,-0.48,-0.36,-0.36,1.32,3.48,-0.48,0
183,157,195,99,247,207,162,196.0,9.65,-1.65,-0.48,-32.38,73.81,37.0,0.59,-0.49,-0.37,-0.37,0.19,3.81,-0.12,0
186,158,189,100,244,209,150,191.0,9.64,-1.75,-0.31,-58.06,54.75,30.69,0.59,-0.49,-0.37,-0.37,-1.14,1.48,-1.11,0
191,146,176,98,235,201,143,190.0,9.62,-1.85,-0.23,-77.81,34.06,31.0,0.58,-0.5,-0.38,-0.38,-1.37,-0.08,-1.73,0
191,142,182,100,243,190,146,198.0,9.6,-1.95,-0.2,-79.12,23.12,31.94,0.58,-0.51,-0.39,-0.39,-1.46,-2.12,-2.38,0
182,138,191,102,248,190,157,200.0,9.58,-2.04,-0.18,-62.31,19.75,29.75,0.58,-0.51,-0.39,-0.39,-1.82,-3.17,-2.16,0
180,139,200,105,260,196,161,207.0,9.56,-2.13,-0.16,-36.69,10.88,26.94,0.58,-0.52,-0.39,-0.39,-1.92,-3.38,-1.36,0
178,133,214,105,270,205,164,210.0,9.54,-2.22,-0.17,-8.94,-2.56,28.75,0.58,-0.52,-0.39,-0.39,-1.69,-3.27,-0.98,0
170,134,220,105,278,211,170,230.0,9.52,-2.32,-0.2,17.44,-12.94,30.75,0.59,-0.52,-0.38,-0.38,-1.25,-3.3,-0.43,0
154,134,222,102,285,238,175,226.0,9.49,-2.43,-0.23,39.0,-20.87,34.44,0.59,-0.52,-0.37,-0.37,-1.23,-2.45,-0.14,0
143,134,218,104,288,254,178,216.0,9.46,-2.55,-0.27,62.13,-28.25,33.63,0.6,-0.52,-0.36,-0.36,-0.88,-0.42,0.92,0
136,138,217,105,288,260,191,212.0,9.43,-2.65,-0.3,69.87,-27.31,26.19,0.6,-0.52,-0.35,-0.35,-1.12,1.61,2.78,0
136,143,226,104,288,262,187,218.0,9.41,-2.73,-0.31,48.69,-17.44,20.31,0.61,-0.52,-0.34,-0.34,-1.34,1.75,3.31,0
134,145,228,104,296,263,198,222.0,9.39,-2.79,-0.35,5.87,-15.0,20.81,0.6,-0.52,-0.34,-0.34,-0.94,1.12,4.41,0
127,149,230,103,301,269,214,229.0,9.36,-2.86,-0.44,-40.94,-19.94,21.44,0.6,-0.53,-0.34,-0.34,-0.99,-0.13,4.31,0
129,148,238,100,304,275,227,242.0,9.34,-2.92,-0.56,-55.75,-21.12,23.94,0.59,-0.54,-0.34,-0.34,-1.05,-1.88,3.34,0
137,141,242,101,309,281,245,246.0,9.3,-3.01,-0.68,-37.75,-22.44,29.94,0.59,-0.54,-0.34,-0.34,0.06,-3.48,1.24,0
152,141,239,98,311,286,250,250.0,9.27,-3.10,-0.75,-14.69,-11.63,31.0,0.59,-0.55,-0.33,-0.33,-0.66,-3.68,0.77,0
166,136,253,97,316,289,257,238.0,9.24,-3.18,-0.75,20.94,-4.75,20.69,0.59,-0.55,-0.33,-0.33,0.33,-2.37,-0.27,0
169,142,272,108,310,294,260,250.0,9.24,-3.18,-0.74,62.56,8.25,-22.06,0.6,-0.54,-0.33,-0.33,7.36,0.29,5.88,0
191,142,276,118,305,305,302,287.0,9.27,-3.13,-0.59,85.75,39.75,-14.25,0.61,-0.53,-0.32,-0.32,-1.13,0.51,0.17,0
232,143,255,114,310,328,344,323.0,9.29,-3.10,-0.41,42.94,16.69,-12.13,0.61,-0.52,-0.32,-0.32,-4.74,2.47,-8.81,0
250,132,253,115,313,335,349,358.0,9.3,-3.06,-0.33,34.63,8.19,-19.19,0.62,-0.51,-0.32,-0.32,-5.02,3.54,-10.97,0
255,134,260,122,318,342,357,355.0,9.33,-2.99,-0.35,32.5,-30.56,-21.31,0.61,-0.51,-0.32,-0.32,-2.01,6.5,-1.04,0
264,139,268,126,310,354,362,343.0,9.34,-2.93,-0.5,-22.37,-42.13,-20.37,0.61,-0.51,-0.32,-0.32,2.4,2.09,-2.43,0
277,144,270,133,309,350,370,345.0,9.35,-2.86,-0.64,-27.75,-22.56,-19.25,0.6,-0.51,-0.32,-0.32,1.55,3.16,-0.49,0
277,148,262,136,307,349,370,356.0,9.37,-2.75,-0.79,-49.63,-17.5,-18.25,0.6,-0.52,-0.32,-0.32,1.12,2.49,0.49,0
270,150,256,134,309,346,371,353.0,9.38,-2.72,-0.84,-61.69,-13.81,-17.81,0.59,-0.52,-0.33,-0.33,0.5,1.28,0.02,0
278,154,251,132,309,345,364,348.0,9.39,-2.64,-0.92,-56.25,-5.06,-17.5,0.58,-0.53,-0.34,-0.34,-1.66,-1.44,-1.95,0
283,158,246,131,306,335,363,343.0,9.41,-2.55,-1.04,-32.06,-18.5,-13.25,0.58,-0.53,-0.34,-0.34,-1.25,-1.03,-1.33,0
274,159,248,130,304,329,366,338.0,9.41,-2.50,-1.13,-23.06,-20.81,-11.25,0.57,-0.53,-0.34,-0.34,0.21,-0.83,-0.46,0
272,156,249,130,302,323,364,334.0,9.41,-2.46,-1.19,-11.44,-15.06,-10.06,0.57,-0.54,-0.34,-0.34,0.49,-0.44,-0.09,0
273,154,251,130,298,315,362,329.0,9.41,-2.45,-1.21,-9.44,-11.75,-9.25,0.57,-0.54,-0.34,-0.34,0.0,1.11,0.28,0
282,152,255,130,301,313,365,325.0,9.42,-2.41,-1.26,-16.56,-8.38,-8.31,0.56,-0.54,-0.34,-0.34,-0.23,1.51,0.02,0
286,150,255,130,299,309,366,319.0,9.42,-2.36,-1.34,-41.81,-7.69,-5.12,0.56,-0.54,-0.35,-0.35,0.17,0.95,-0.38,0
289,149,253,126,293,306,358,314.0,9.42,-2.33,-1.4,-51.44,-5.0,-0.81,0.55,-0.55,-0.35,-0.35,-0.21,1.54,-0.17,0
292,150,251,120,293,305,362,311.0,9.41,-2.30,-1.46,-65.44,-4.0,-1.31,0.55,-0.55,-0.35,-0.35,0.04,1.74,-0.06,0
293,153,246,118,293,305,367,304.0,9.42,-2.27,-1.49,-85.81,-3.81,-6.06,0.54,-0.56,-0.36,-0.36,-0.32,0.12,-0.76,0
291,153,244,121,296,304,365,306.0,9.42,-2.20,-1.58,-84.44,-3.69,-8.06,0.53,-0.57,-0.37,-0.37,0.2,-0.94,-0.44,0
292,152,238,118,297,301,362,310.0,9.43,-2.10,-1.67,-73.69,0.5,-7.94,0.52,-0.57,-0.38,-0.38,0.4,-1.41,-0.03,0
293,151,236,113,296,296,365,310.0,9.44,-2.03,-1.7,-62.63,6.31,-9.38,0.51,-0.58,-0.38,-0.38,0.23,-1.2,-0.11,0
290,150,234,116,294,294,360,298.0,9.45,-1.96,-1.71,-55.63,8.75,-9.38,0.51,-0.58,-0.39,-0.39,-0.14,-1.06,-0.13,0
288,150,237,118,293,290,359,298.0,9.45,-1.93,-1.72,-48.88,11.5,-6.62,0.5,-0.58,-0.4,-0.4,-0.16,-1.17,-0.25,0
291,148,241,118,298,294,360,303.0,9.47,-1.87,-1.7,-44.31,12.44,-4.31,0.5,-0.59,-0.4,-0.4,-0.19,-0.64,0.53,0
291,141,242,121,297,294,355,305.0,9.48,-1.83,-1.69,-49.44,11.44,-4.44,0.5,-0.59,-0.41,-0.41,-0.25,0.23,0.57,0
287,141,242,118,293,290,344,301.0,9.49,-1.77,-1.69,-58.81,14.56,-7.56,0.49,-0.59,-0.42,-0.42,-0.15,1.14,0.25,0
289,139,241,119,291,288,335,304.0,9.5,-1.71,-1.68,-74.94,15.56,-6.75,0.48,-0.6,-0.42,-0.42,-0.55,1.11,0.35,0
290,138,236,109,296,291,331,311.0,9.51,-1.64,-1.69,-94.69,9.06,-5.19,0.48,-0.6,-0.43,-0.43,-0.45,-0.18,0.16,0
293,136,223,109,298,298,326,315.0,9.52,-1.55,-1.73,-109.0,6.5,-7.5,0.46,-0.61,-0.44,-0.44,-0.35,-2.06,-0.7,0
